pricing_lists,site,endpoint,requested,req_time,req_status,req_200_found
http://www.usertesting.com/pricing/,usertesting,pricing,False,,,
http://www.usertesting.com/plans/,usertesting,plans,False,,,
https://www.amocrm.com/pricing/,amocrm,pricing,False,,,
https://www.amocrm.com/buy/,amocrm,buy,False,,,
http://walkme.com/pricing/,walkme,pricing,False,,,
http://walkme.com/plans/,walkme,plans,False,,,
http://www.dropbox.com/pricing/,dropbox,pricing,False,,,
http://www.dropbox.com/buy/,dropbox,buy,False,,,
http://www.dropbox.com/plans/,dropbox,plans,False,,,
http://www.surveymonkey.com/pricing/,surveymonkey,pricing,False,,,
https://vidyard.com/pricing/,vidyard,pricing,False,,,
https://codesignal.com/pricing/,codesignal,pricing,False,,,
https://superhuman.com/pricing/,superhuman,pricing,False,,,
https://superhuman.com/buy/,superhuman,buy,False,,,
https://superhuman.com/plans/,superhuman,plans,False,,,
http://gusto.com/pricing/,gusto,pricing,False,,,
https://42crunch.com/pricing/,42crunch,pricing,False,,,
https://postman.com/pricing/,postman,pricing,False,,,
https://postman.com/buy/,postman,buy,False,,,
https://postman.com/plans/,postman,plans,False,,,
http://interos.ai/pricing/,interos,pricing,False,,,
http://interos.ai/buy/,interos,buy,False,,,
http://interos.ai/plans/,interos,plans,False,,,
http://www.docusign.com/pricing/,docusign,pricing,False,,,
http://www.docusign.com/buy/,docusign,buy,False,,,
https://writer.com/pricing/,writer,pricing,False,,,
https://writer.com/plans/,writer,plans,False,,,
https://www.zendesk.co.jp/pricing/,zendesk,pricing,False,,,
http://autodesk.com/buy/,autodesk,buy,False,,,
http://autodesk.com/plans/,autodesk,plans,False,,,
https://www.ning.com/pricing/,ning,pricing,False,,,
https://www.ning.com/plans/,ning,plans,False,,,
http://appzen.com/pricing/,appzen,pricing,False,,,
http://splunk.com/pricing/,splunk,pricing,False,,,
http://www.box.com/pricing/,box,pricing,False,,,
http://www.box.com/plans/,box,plans,False,,,
https://www.datadoghq.com/pricing/,datadoghq,pricing,False,,,
https://ecochain.com/pricing/,ecochain,pricing,False,,,
https://unbabel.com/pricing/,unbabel,pricing,False,,,
http://freshworks.com/pricing/,freshworks,pricing,False,,,
http://www.physna.com/pricing/,physna,pricing,False,,,
http://www.physna.com/buy/,physna,buy,False,,,
http://www.physna.com/plans/,physna,plans,False,,,
http://www.QinetiQ.com/pricing/,QinetiQ,pricing,False,,,
http://www.QinetiQ.com/buy/,QinetiQ,buy,False,,,
http://www.QinetiQ.com/plans/,QinetiQ,plans,False,,,
http://qinetiq.com/pricing/,qinetiq,pricing,False,,,
http://qinetiq.com/buy/,qinetiq,buy,False,,,
http://qinetiq.com/plans/,qinetiq,plans,False,,,
http://split.io/pricing/,split,pricing,False,,,
https://frontapp.com/pricing/,frontapp,pricing,False,,,
https://front.com/pricing/,front,pricing,False,,,
https://moz.com/pricing/,moz,pricing,False,,,
https://moz.com/plans/,moz,plans,False,,,
http://hive.com/buy/,hive,buy,False,,,
https://snaplogic.com/pricing/,snaplogic,pricing,False,,,
https://lever.co/pricing/,lever,pricing,False,,,
https://pt.shopify.com/pricing/,pt,pricing,False,,,
https://shopify.com/pricing/,shopify,pricing,False,,,
https://contentful.com/pricing/,contentful,pricing,False,,,
https://contentful.com/plans/,contentful,plans,False,,,
http://www.algolia.com/pricing/,algolia,pricing,False,,,
http://www.co2analytics.com/pricing/,co2analytics,pricing,False,,,
http://dynatrace.com/pricing/,dynatrace,pricing,False,,,
http://signalwire.com/pricing/,signalwire,pricing,False,,,
http://www.outreach.io/pricing/,outreach,pricing,False,,,
http://aryaka.com/pricing/,aryaka,pricing,False,,,
http://aryaka.com/buy/,aryaka,buy,False,,,
